  *  Hope Server Monitor — Multi-usuario
  =>  http://localhost:8000

INFO:     127.0.0.1:52641 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:52641 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:52641 - "GET /api/servers HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:55148 - "GET /api/servers HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:52641 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:52641 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:52641 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:64236 - "GET /api/servers HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59547 - "GET /api/servers HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59547 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:59142 - "GET /api/servers HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:50797 - "GET /api/servers HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:59142 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:65070 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:65070 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:65070 - "GET /api/shock-config-status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62936 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET /api/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:62486 - "GET /api/shock-config-status HTTP/1.1" 200 OK
